location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours
MON,PHILADELPHIA,US,co,0.63,2020-04-07 20:00:00 UTC,ppm,AirNow,39.988842,-75.20721,1.0
Hattiesburg,FORREST,US,pm25,10.5,2020-04-07 20:00:00 UTC,µg/m³,AirNow,31.322778999999997,-89.2875,1.0
Preble County,Dayton,US,pm25,6.7,2020-04-07 20:00:00 UTC,µg/m³,AirNow,39.83562,-84.72049,1.0
תחנה:ברקאי,תחנות ניידות,IL,so2,0.0006,2019-04-03 21:00:00 UTC,ppm,Israel,32.460440000000006,35.06915,0.25
Colliers Mills,New York-Northern New Jersey-Long Island,US,o3,0.048,2020-04-07 19:00:00 UTC,ppm,AirNow,40.064846,-74.44406,1.0
VIENNA,Parkersburg-Marietta-Vienna,US,o3,0.045,2020-04-07 20:00:00 UTC,ppm,AirNow,39.325,-81.5522,1.0
Clermont,Orlando-Kissimmee,US,o3,0.054000000000000006,2020-04-07 19:00:00 UTC,ppm,AirNow,28.525,-81.7231,1.0
Long Creek,Seneca,US,so2,0.0,2020-01-13 17:00:00 UTC,ppm,AirNow,34.805,-83.2375,1.0
Marine on St. Croix,Minneapolis-St. Paul-Bloomington,US,o3,0.03,2020-04-07 20:00:00 UTC,ppm,AirNow,45.168,-92.7651,1.0
Collectorate Jodhpur - RSPCB,Jodhpur,IN,so2,4.81,2018-02-22 03:45:00 UTC,µg/m³,CPCB,26.292065,73.03791,0.25
ES1658A,Huelva,ES,pm10,9.9,2018-01-27 00:00:00 UTC,µg/m³,EEA Spain,37.27148,-6.92462,1.0
"Moti Doongri, Alwar - RSPCB",Alwar - Jaipur Rd,IN,pm25,17.57,2020-04-07 21:00:00 UTC,µg/m³,caaqm,27.554792,76.61153399999999,0.25
ES1915A,Alicante/Alacant,ES,no2,1.0,2020-04-06 14:00:00 UTC,µg/m³,EEA Spain,38.34028,-0.50666666,1.0
Estación Seguridad P,GUANAJUATO,MX,pm10,62.0,2020-04-03 16:00:00 UTC,µg/m³,AirNow,20.518316,-100.81591,1.0
Polanczyk-mobilna,Polańczyk,PL,pm10,30.0354,2020-04-07 21:00:00 UTC,µg/m³,GIOS,49.374207,22.439453,
Grand Canyon ozone b,COCONINO,US,pm25,-1.9,2020-04-07 19:00:00 UTC,µg/m³,AirNow,36.060444,-112.107025,1.0
Toll,Reno-Sparks,US,co,0.2,2017-01-18 20:00:00 UTC,ppm,AirNow,39.399837,-119.73961000000001,1.0
Swiftwater,East Stroudsburg,US,o3,0.055,2020-04-07 20:00:00 UTC,ppm,AirNow,41.0831,-75.3283,1.0
FES Aragon,MEXICO STATE,MX,pm25,13.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,19.4525,-99.086,1.0
London Hillingdon,London,GB,o3,69.0,2020-04-07 20:00:00 UTC,µg/m³,DEFRA,51.49633,-0.46086099999999997,8.0
Crockett,MORGAN,US,o3,0.047,2020-04-07 19:00:00 UTC,ppm,AirNow,37.9214,-83.0662,1.0
Yeniköy-MTHM,Kocaeli,TR,no2,25.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,40.70417,29.88448,1.0
"Sikulpuikawn, Aizawl - Mizoram PCB",Aizawl,IN,o3,11.74,2020-04-07 20:45:00 UTC,µg/m³,caaqm,23.717634,92.719284,0.25
ES0823A,Huelva,ES,pm10,16.49,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,37.18568,-6.9641399999999996,1.0
"Lat Phrao Rd., Wang Thonglang",Bangkok,TH,o3,0.002,2019-08-02 01:00:00 UTC,ppm,Thailand,13.792635,100.59608,1.0
ES2040A,Almería,ES,so2,3.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,37.1388,-1.8422,1.0
Black Hawk,Rapid City,US,o3,0.046,2020-04-07 20:00:00 UTC,ppm,AirNow,44.155636,-103.315765,1.0
COLOMA,Niles-Benton Harbor,US,o3,0.052000000000000005,2020-04-07 20:00:00 UTC,ppm,AirNow,42.1978,-86.3097,1.0
"Ghusuri, Howrah - WBPCB",Howrah,IN,pm10,55.5,2020-04-07 20:45:00 UTC,µg/m³,caaqm,22.611967,88.34742,0.25
Wschowa ul. Kazimierza Wielkiego,Wschowa,PL,so2,8.138119999999999,2020-04-07 21:00:00 UTC,µg/m³,GIOS,51.79972,16.3175,
Skøyen,Oslo,NO,pm10,21.0,2020-04-07 20:00:00 UTC,µg/m³,Norway,59.91975,10.68973,1.0
Hefei Ming Zhu Guang Chang,Hefei,CN,no2,72.0,2018-10-13 21:00:00 UTC,µg/m³,Hefei,31.7848,117.196,1.0
"Belur Math, Howrah - WBPCB",West Bengal Pollution Control Board,IN,co,300.0,2020-04-07 12:30:00 UTC,µg/m³,caaqm,22.6298,88.35202,0.25
J. D. Smith,Las Vegas-Paradise,US,pm10,37.0,2018-01-04 13:00:00 UTC,µg/m³,AirNow,36.19126,-115.12293000000001,1.0
Winnipeg_Ellens,MANITOBA,CA,pm25,5.5,2019-10-31 21:00:00 UTC,µg/m³,AirNow,49.9489,-97.3964,1.0
Cedar Bluff,TREGO,US,so2,0.0,2020-04-07 20:00:00 UTC,ppm,AirNow,38.7703,-99.7636,1.0
תחנה:ניר ישראל,שפלה פנימית,IL,o3,0.0099,2019-04-03 21:00:00 UTC,ppm,Israel,31.89912,34.81562,0.25
La Presa,MEXICO STATE,MX,so2,0.003,2020-04-07 19:00:00 UTC,ppm,AirNow,19.5347,-99.1177,1.0
ES1781A,Cádiz,ES,no2,11.0,2020-04-07 09:00:00 UTC,µg/m³,EEA Spain,36.68855,-6.11724,1.0
Eren Enerji Santral,Zonguldak,TR,so2,8.0,2018-02-24 11:00:00 UTC,µg/m³,Turkey,41.5106,31.89651,1.0
AM4 Gdynia Pogórze,Gdynia,PL,no2,6.25358,2020-04-07 20:00:00 UTC,µg/m³,GIOS,54.560837,18.493332000000002,
"Chikkaballapur Rural, Chikkaballapur - KSPCB",Chikkaballapur,IN,no2,9.6,2020-04-07 21:00:00 UTC,µg/m³,caaqm,13.428828,77.731415,0.25
Banqiao,North,TW,co,0.3,2020-04-07 21:00:00 UTC,ppm,Taiwan,25.012972,121.45866399999998,1.0
Ozanlar-MTHM,Sakarya,TR,o3,47.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,40.79072,30.39692,1.0
WIOŚ Ostróda Piłsudskiego,Ostróda,PL,co,385.916,2020-04-07 21:00:00 UTC,µg/m³,GIOS,53.694630000000004,19.968891,
Cuajimalpa,DISTRITO FEDERAL,MX,o3,0.085,2020-04-07 19:00:00 UTC,ppm,AirNow,19.3653,-99.2917,1.0
Austin Northwest C3,Austin-Round Rock,US,o3,0.012,2020-02-18 13:00:00 UTC,ppm,AirNow,30.3542,-97.76,1.0
Şile-MTHM,İstanbul,TR,pm10,32.0,2018-10-13 20:00:00 UTC,µg/m³,Turkey,41.17046,29.56336,1.0
Campo dell'Oro,Civitavecchia,IT,pm10,18.0,2020-03-30 22:00:00 UTC,µg/m³,ARPALAZIO,42.081825,11.809336,24.0
"Belur Math, Howrah - WBPCB",West Bengal Pollution Control Board,IN,no2,17.1,2020-04-07 12:30:00 UTC,µg/m³,caaqm,22.6298,88.35202,0.25
DANIA_BEACH,Miami-Fort Lauderdale-Miami Beach,US,o3,0.038,2020-04-07 20:00:00 UTC,ppm,AirNow,26.0864,-80.1114,1.0
"Sion, Mumbai - MPCB",K J Somaiya Hospital,IN,pm10,163.0,2020-04-07 17:45:00 UTC,µg/m³,caaqm,19.047,72.8746,0.25
Yüzüncüyıl,Samsun,TR,no2,96.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,41.29104,36.32853,1.0
LACROSSE DOT,La Crosse,US,o3,0.023,2020-04-07 20:00:00 UTC,ppm,AirNow,43.7781,-91.225,1.0
תחנה:איינשטין,שומרון,IL,co,0.3,2019-04-03 21:00:00 UTC,ppm,Israel,32.10348,35.167790000000004,0.25
Xianxi,彰化縣,TW,o3,0.04,2020-04-07 21:00:00 UTC,ppm,Taiwan,24.131672000000002,120.46906000000001,1.0
SPEEDY CREEK,SASKATCHEWAN,CA,o3,0.022000000000000002,2020-04-07 15:00:00 UTC,ppm,AirNow,50.28583,-107.81688999999999,1.0
Ft. Collins - CSU Fa,LARIMER,US,pm10,1.0,2020-04-07 19:00:00 UTC,µg/m³,AirNow,40.571259999999995,-105.079765,1.0
Portland - Deering O,Portland-South Portland-Biddeford,US,so2,0.0,2020-04-07 19:00:00 UTC,ppm,AirNow,43.660247999999996,-70.26897,1.0
MMCA81027,CA8 - ARB,US,pm25,2.0,2019-11-25 23:00:00 UTC,µg/m³,AirNow,41.796271999999995,-123.375244,1.0
Residence for Dept. of Primary Industries and Mines,Samut Prakan,TH,o3,0.009000000000000001,2020-04-07 20:00:00 UTC,ppm,Thailand,13.652157,100.53184,1.0
Grudziądz Airpointer,Grudziądz,PL,no2,6.8102800000000006,2020-04-07 21:00:00 UTC,µg/m³,GIOS,53.49355,18.762138,
HAZ2,PERRY,US,o3,0.047,2020-04-07 19:00:00 UTC,ppm,AirNow,37.2831,-83.2203,1.0
Kardemir 2,Karabük,TR,co,434.0,2018-10-13 21:00:00 UTC,µg/m³,Turkey,41.193515999999995,32.627686,1.0
North OKC,Oklahoma City,US,no2,0.004,2020-04-07 20:00:00 UTC,ppm,AirNow,35.6128,-97.4722,1.0
Las Flores Canyon,Santa Barbara-Santa Maria,US,pm10,2.0,2020-04-07 20:00:00 UTC,µg/m³,AirNow,34.4897,-120.0458,1.0
"Loni, Ghaziabad - UPPCB",Loni Dehat,IN,pm10,150.0,2020-04-07 19:00:00 UTC,µg/m³,caaqm,28.757294,77.27879,0.25
Rainy Lake,MT1,US,pm25,1.0,2017-10-05 13:00:00 UTC,µg/m³,AirNow,47.347396999999994,-113.58979,1.0
NR,Salt Lake City,US,o3,0.04,2020-04-07 19:00:00 UTC,ppm,AirNow,40.66284,-111.901794,1.0
AM9 Gdynia Dąbrowa,Gdynia,PL,no2,5.68639,2020-04-07 20:00:00 UTC,µg/m³,GIOS,54.465759999999996,18.46491,
San Bernadino - 4th,Riverside-San Bernardino-Ontario,US,no2,0.001,2020-04-07 20:00:00 UTC,ppm,AirNow,34.106678,-117.27406,1.0
Tuscan Butte (Season,Red Bluff,US,o3,0.052000000000000005,2019-11-07 17:00:00 UTC,ppm,AirNow,40.26207,-122.09265,1.0
Nipomo RP,San Luis Obispo-Paso Robles,US,o3,0.034,2020-04-07 17:00:00 UTC,ppm,AirNow,35.0315,-120.50101000000001,1.0
MMCA81030,CA8 - ARB,US,pm25,1.7,2020-03-09 17:00:00 UTC,µg/m³,AirNow,38.561283,-121.508896,1.0
